Ticker,Company Name,Sector,Date,Incorporation Region,Filing Link
SYY,SYSCO CORP,Consumer Staples,2021-08-27,DELAWARE,https://www.sec.gov/Archives/edgar/data/96021/000009602121000093/syy-20210703.htm
MSCI,MSCI Inc.,Financials,2022-02-11,DELAWARE,https://www.sec.gov/Archives/edgar/data/1408198/000156459022004803/msci-10k_20211231.htm
PRU,PRUDENTIAL FINANCIAL INC,Financials,2022-02-17,NEW JERSEY,https://www.sec.gov/Archives/edgar/data/1137774/000113777422000038/pru-20211231.htm
IQV,IQVIA HOLDINGS INC.,Large cap,2022-02-16,DELAWARE,https://www.sec.gov/Archives/edgar/data/1478242/000147824222000041/iqv-20211231.htm
AEP,AMERICAN ELECTRIC POWER CO INC,Utilities,2022-02-24,NEW YORK,https://www.sec.gov/Archives/edgar/data/4904/000000490422000024/aep-20211231.htm
ADM,Archer-Daniels-Midland Co,Consumer Staples,2022-02-17,DELAWARE,https://www.sec.gov/Archives/edgar/data/7084/000000708422000008/adm-20211231.htm
HLT,Hilton Worldwide Holdings Inc.,Consumer Discretionary,2022-02-16,DELAWARE,https://www.sec.gov/Archives/edgar/data/1585689/000158568922000013/hlt-20211231.htm
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,2022-02-11,UNKNOWN,https://www.sec.gov/Archives/edgar/data/1058090/000105809022000011/cmg-20211231x10k.htm
HSY,HERSHEY CO,Consumer Staples,2022-02-18,DELAWARE,https://www.sec.gov/Archives/edgar/data/47111/000004711122000017/hsy-20211231.htm
PAYX,PAYCHEX INC,Information Technology,2021-07-16,DELAWARE,https://www.sec.gov/Archives/edgar/data/723531/000072353121000035/payx-20210531x10k.htm
TRV,"TRAVELERS COMPANIES, INC.",Financials,2022-02-17,MINNESOTA,https://www.sec.gov/Archives/edgar/data/86312/000008631222000013/trv-20211231.htm
AFL,AFLAC INC,Financials,2022-02-23,GEORGIA,https://www.sec.gov/Archives/edgar/data/4977/000000497722000058/afl-20211231.htm
IDXX,IDEXX LABORATORIES INC /DE,Health Care,2022-02-16,DELAWARE,https://www.sec.gov/Archives/edgar/data/874716/000087471622000007/idxx-20211231.htm
BAX,BAXTER INTERNATIONAL INC,Health Care,2022-02-23,DELAWARE,https://www.sec.gov/Archives/edgar/data/10456/000162828022003432/bax-20211231.htm
STZ,"CONSTELLATION BRANDS, INC.",Consumer Staples,2021-04-20,DELAWARE,https://www.sec.gov/Archives/edgar/data/16918/000001691821000060/stz-20210228.htm
MCK,MCKESSON CORP,Health Care,2021-05-12,DELAWARE,https://www.sec.gov/Archives/edgar/data/927653/000092765321000039/mck-20210331.htm
DD,"DuPont de Nemours, Inc.",Large cap,2022-02-11,DELAWARE,https://www.sec.gov/Archives/edgar/data/1666700/000166670022000009/dd-20211231.htm
GIS,GENERAL MILLS INC,Consumer Staples,2021-06-30,DELAWARE,https://www.sec.gov/Archives/edgar/data/40704/000119312521204830/d184854d10k.htm
EXC,EXELON CORP,Utilities,2022-02-25,NEW JERSEY,https://www.sec.gov/Archives/edgar/data/8192/000110935722000039/exc-20211231.htm
WBA,"Walgreens Boots Alliance, Inc.",Consumer Staples,2021-11-24,DELAWARE,https://www.sec.gov/Archives/edgar/data/1618921/000161892121000129/wba-20210831.htm
